STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
FL,120,7.7,4.38,1.03,25.23,52470,1.5,20.09,20.35,24.89,29.97,29.97,41790,42330,51770,62330,62330
FL,840,2.6,4.64,1.09,26.42,54950,0.7,18.28,20.75,24.01,28.76,37.19,38020,43160,49950,59830,77340
FL,5480,1,3.88,0.91,35.9,74680,0.5,24.57,29.34,33.06,42.77,50.49,51100,61030,68750,88970,105010
FL,300,5,7.82,1.84,29.38,61110,0.7,23.38,23.52,29.07,35.57,35.57,48640,48920,60460,73990,73990
GA,380,3.8,6.29,1.48,23.93,49760,1.3,17.73,19.84,23.75,29.49,29.49,36880,41260,49390,61330,61330
GA,490,3.6,5.36,1.26,27.15,56470,0.8,18.67,25.17,25.83,31.02,31.02,38830,52350,53730,64530,64530
GA,12970,8.4,4.6,1.08,29.61,61600,1.8,23.44,24.97,28.77,32.51,36.61,48760,51940,59840,67630,76140
GA,1120,2.8,4.89,1.15,25.8,53660,0.9,19.98,23.47,25.21,28.31,30.61,41560,48820,52440,58880,63680
GA,230,5.1,5.15,1.21,24.65,51270,0.8,18.78,21.89,24.47,24.68,29.25,39070,45520,50900,51340,60840
GA,730,3.6,6.42,1.51,23.48,48830,0.9,19.61,22.77,22.86,23.19,28.83,40780,47360,47540,48240,59960
GA,240,6.5,3.67,0.86,24.93,51860,1.8,18.79,22.68,25.8,26.06,30.88,39080,47170,53660,54200,64220
GA,410,7.7,4.11,0.96,28,58230,1.6,20.4,24.91,25.49,33.4,35.7,42430,51820,53020,69480,74250
GA,190,3.6,9.17,2.15,23.28,48410,1.3,12.21,19.28,23.01,27.75,30.21,25390,40100,47860,57720,62840
GA,720,2.2,7.56,1.78,22.55,46910,0.7,20.58,20.58,20.58,24.18,25.17,42810,42810,42810,50290,52350
GA,270,1.7,6.57,1.54,26.23,54550,0.7,20,21.68,25.8,29.48,31.1,41600,45090,53650,61320,64680
GA,1140,3,6.04,1.42,28,58240,0.6,20.49,23.93,24.66,30.94,38.69,42620,49770,51290,64360,80470
GA,280,5.9,5.25,1.23,21.98,45710,1.8,18.14,19.32,20.74,23.04,28.52,37740,40190,43140,47910,59320
GA,430,3.7,5.54,1.3,24.92,51830,0.9,18.41,20.27,23.66,28.99,32.72,38300,42160,49200,60300,68060
HI,260,0,3.48,0.82,40.81,84890,0.6,35.92,41.41,41.41,41.41,41.41,74710,86130,86130,86130,86130
HI,1610,0,3.68,0.86,44.23,92000,1.9,33.98,42.42,42.42,53.51,53.51,70680,88230,88230,111300,111300
IA,120,3.3,2.61,0.61,33.56,69800,0.8,20.1,30.62,32.77,38.47,43.03,41810,63690,68160,80020,89500
IA,480,2.9,3.4,0.8,33.92,70560,0.8,25.62,30.95,33.06,38.88,41.5,53280,64380,68760,80880,86320
IA,600,6.9,3.36,0.79,32.51,67630,1.8,22.63,27.4,32.5,37.05,43.03,47070,56990,67590,77050,89500
IA,1120,2.7,2.92,0.69,37.54,78090,0.7,29.32,32.36,37.71,44.54,46.2,60990,67320,78450,92640,96090
IA,150,5.4,2.65,0.62,34.57,71900,0.7,30.5,33.5,33.5,38.12,38.12,63440,69680,69680,79290,79290
IA,280,1.8,3.06,0.72,34.09,70900,0.6,20.4,30.36,34.01,38.4,42.1,42430,63150,70730,79860,87570
IA,260,4.3,2.99,0.7,32.41,67420,0.9,20.57,24.85,32.48,39.39,39.39,42780,51690,67550,81940,81940
IA,300,3.8,3.48,0.82,35.44,73720,0.8,27.01,31.18,37.41,41.49,41.49,56190,64850,77810,86300,86300
ID,1220,5.1,3.28,0.77,34.49,71730,1.4,24.56,26.84,32.53,41.95,43.05,51080,55830,67670,87250,89540
ID,300,5.1,4.31,1.01,31.82,66180,1.4,26.02,27.22,31.81,34.82,39.24,54120,56610,66170,72430,81620
ID,230,5.7,2.88,0.68,31.81,66170,2.5,22.56,26.15,32.11,37.74,38.38,46920,54390,66790,78500,79830
ID,150,6.4,5.36,1.26,33.02,68690,1.9,24.75,28.7,31.18,36.18,45.9,51480,59690,64850,75250,95470
ID,140,3.5,3.74,0.88,28.96,60240,1.1,23.16,24.19,28.05,29.51,38.58,48160,50320,58330,61390,80250
ID,160,9.2,3.27,0.77,28.53,59350,3.9,23.68,24.84,28.49,32.74,35.97,49250,51670,59250,68100,74820
IL,320,4.9,3.54,0.83,35.72,74290,2.4,20.82,31.26,36.23,45.65,45.65,43300,65010,75360,94950,94950
IL,320,5.8,5.95,1.4,29.86,62110,2.9,17.47,23.27,30.39,35.54,38.75,36340,48400,63210,73930,80600
IL,400,5.8,3.79,0.89,36.37,75660,1.4,23.43,30.33,35.67,43.37,47.84,48730,63090,74190,90210,99500
IL,24610,2.6,5.46,1.28,44.54,92630,0.8,28.29,38.97,49.29,49.29,54.53,58840,81060,102520,102520,113420
IL,190,5.7,7.21,1.69,34.33,71410,2,20.53,29.79,36.22,38.43,45.37,42700,61960,75350,79940,94370
IL,240,10.4,5.21,1.22,40.31,83840,1.7,22.69,34.27,43.14,49.21,49.21,47190,71270,89740,102350,102350
IL,210,10.1,5.05,1.19,35.02,72840,2.8,22.21,30.3,37.47,40.31,46.87,46190,63030,77940,83830,97500
IL,700,4.7,4.22,0.99,36.27,75440,1.9,21.12,27.01,37.96,44.64,52.33,43930,56180,78960,92850,108850
IL,460,7.8,3.33,0.78,35.41,73650,1.2,23.03,30.96,38.36,40.26,41.92,47910,64390,79790,83740,87200
IL,430,6.2,4.14,0.97,35.9,74680,3.1,19.57,24.97,40.16,42.11,54.11,40700,51940,83540,87590,112550
IN,240,6.4,3.3,0.77,31.04,64560,1.1,23,24.82,30.59,34.58,41.5,47840,51620,63620,71930,86320
IN,130,2.9,2.55,0.6,31.33,65160,0.7,27.31,29.04,29.04,35.26,39.69,56800,60390,60390,73330,82540
IN,230,5.1,1.72,0.4,32.44,67470,0.9,28.54,32.03,33.98,33.98,37.21,59360,66610,70680,70680,77390
IN,560,2.8,3.71,0.87,30.78,64020,0.5,23.6,27.7,29.97,35.49,40.41,49090,57610,62350,73820,84050
IN,1020,2,4.63,1.09,34.45,71660,0.6,28.59,34.39,34.39,34.39,40.38,59460,71540,71540,71540,83990
IN,4530,2.3,4.18,0.98,35.05,72900,0.6,27.57,30.24,37.15,40.07,40.07,57350,62900,77270,83350,83350
IN,120,1.6,3.44,0.81,28.98,60280,0.9,23.37,23.56,28.63,29.26,37.38,48610,49000,59550,60870,77750
IN,320,4.9,3.25,0.76,32.38,67350,1,26.44,28.29,34.07,34.51,38.63,54990,58840,70870,71770,80350
IN,210,5.2,5.12,1.2,30.06,62520,1.2,24.72,26.56,28.83,32.67,36.86,51420,55240,59960,67950,76670
IN,230,3,5.26,1.24,29.42,61190,1.3,23.77,25.47,30.1,32.54,32.54,49440,52980,62610,67670,67670
IN,600,4.3,4.61,1.08,31.03,64550,0.6,24.24,29.08,31.14,34.03,36.79,50420,60490,64770,70790,76530
IN,240,5.2,3.74,0.88,29.46,61280,1.4,20.51,24.76,29.49,34.97,35.55,42670,51490,61340,72730,73940
KS,200,3.4,4.08,0.96,29.37,61090,0.8,22.5,25.22,27.15,30.63,41.25,46810,52460,56470,63710,85810
KS,190,13.3,4.65,1.09,24.3,50540,4,18.9,21.52,23.09,25.81,32.52,39310,44770,48030,53680,67640
KS,570,3.5,5.05,1.19,28.08,58400,1,20.12,22.92,25.83,31.6,40.55,41850,47680,53730,65740,84340
KS,1120,2.9,3.7,0.87,26.52,55170,0.8,19.69,23.52,26.27,28.15,35.51,40950,48910,54650,58550,73860
KY,270,5.8,3.41,0.8,23.36,48580,2.1,18.67,21.88,23.69,24.38,28.72,38840,45520,49280,50710,59740
KY,250,11.4,4.71,1.11,25.69,53430,2.6,19.65,20.2,23.57,26.35,38.7,40870,42020,49020,54810,80500
KY,1030,4.7,3.69,0.87,28.03,58300,0.9,22.11,24.69,25.76,33.1,33.1,45990,51360,53590,68850,68850
KY,2150,3.8,3.24,0.76,28.36,59000,1,23,24.75,27.39,31.52,35.47,47850,51480,56960,65560,73780
KY,120,12.3,2.4,0.56,25,52000,1.1,22.17,24.16,24.16,24.6,29.24,46120,50250,50250,51160,60810
LA,420,6.4,7.03,1.65,21.15,43990,2.4,14.15,16.88,19.61,27.06,27.78,29430,35100,40800,56290,57770
LA,1970,5.5,5.09,1.19,24.12,50170,0.8,16.33,19.45,22.52,28.7,32.77,33960,40450,46830,59690,68160
LA,200,8.5,4.31,1.01,18.7,38890,2.3,14.54,14.88,17.94,20.87,26.33,30250,30950,37310,43410,54770
LA,480,3.1,5.99,1.41,20.8,43270,0.7,17.08,17.21,19.94,21.77,28.71,35530,35790,41470,45290,59720
LA,970,11.1,5.04,1.18,24.56,51080,2.7,17.14,20.49,22.73,28.65,36.88,35650,42610,47270,59580,76710
LA,990,4.9,10.82,2.54,23.82,49550,0.9,16.35,19.94,22.9,30.02,32.47,34000,41470,47630,62450,67550
LA,440,1.8,5.94,1.39,22.08,45920,0.4,15,19.31,20,28.12,28.12,31200,40170,41600,58500,58500
LA,3650,3.3,7.09,1.67,25.89,53840,0.9,19.15,22.43,24.54,30.7,31.52,39840,46660,51050,63860,65550
LA,1750,4.7,10.24,2.41,26.16,54420,1.1,17.91,21.69,26.15,29.03,32.77,37260,45110,54390,60370,68170
MA,680,2.9,6.69,1.57,39.82,82830,1.2,26.94,33.23,40.38,42.12,53.29,56030,69120,83980,87620,110840
MA,11480,1.6,4.16,0.98,38.32,79700,0.6,29.03,32.65,36.81,43.14,51.33,60390,67910,76570,89740,106770
MA,300,3.7,5.88,1.38,34.66,72100,1.4,24.72,31.29,32.56,39.81,40.32,51420,65080,67730,82800,83870
MA,400,4.4,6.15,1.44,34.73,72240,0.9,26.27,31.82,32.78,38.55,44.8,54630,66190,68180,80190,93180
MA,180,4.1,4.65,1.09,34.37,71490,1.8,24.53,30.6,32.38,39.85,46.69,51010,63650,67350,82890,97110
MA,2140,2.1,6.66,1.56,37.22,77410,0.7,25.05,31.8,38.84,42.42,50,52100,66140,80790,88220,104000
MA,1460,3.7,5.19,1.22,34.99,72770,0.7,23.96,29.53,34.85,39.85,45.49,49840,61420,72490,82890,94630
MD,4540,0.5,3.48,0.82,36.73,76390,0.4,26.13,30.64,36.21,41.85,48.61,54340,63730,75330,87040,101100
MD,170,3,3.66,0.86,32.39,67380,1.5,23.82,28.21,31.69,36.16,44.81,49540,58680,65920,75210,93200
MD,150,9.7,4.03,0.95,27.25,56680,4.1,20.89,23.14,23.75,28.86,40.89,43450,48130,49390,60020,85050
